run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
-61.37122,-67.296425,-66.45269,-62.060913,-65.068474,-63.284485,-64.43553,-68.96599,-52.526623,-67.072
-57.694626,-64.80342,-57.910603,-59.71186,-63.34349,-67.125374,nan,-62.2642,-57.07249,-63.93799
-57.63175,-63.344505,-54.715103,-59.732483,-65.98804,-64.999985,nan,-60.84062,-56.218227,-62.267773
-58.040913,-64.105736,-52.8805,-59.813507,-62.037346,-62.640408,nan,-62.056705,-53.845078,-62.27229
-56.94746,-64.08944,-48.864174,-60.32179,-61.885994,-63.304546,nan,-60.80583,-54.030228,-61.165104
-58.05017,-63.785366,-46.050217,-59.698826,-61.128258,-61.67561,nan,-61.524742,-52.914375,-60.94792
-56.151543,-62.69106,-45.455105,-59.602608,-60.829784,-61.33677,nan,-60.330933,-51.72217,-61.082176
-54.935,-62.84682,-45.276478,-59.482018,-60.766533,-61.325226,nan,-60.337555,-51.60865,-60.289616
-53.898136,-62.092617,-45.039032,-59.651516,-60.63186,-61.29463,nan,-60.492626,-50.00718,-60.154907
-53.961296,-60.978165,-44.800884,-59.60255,-60.23532,-61.476883,nan,-59.38617,-53.030655,-59.43106
-52.53015,-61.17913,-44.789722,-59.48302,-59.955715,-60.76985,nan,-60.34456,-50.200325,-59.72625
-52.86938,-60.936043,-44.698532,-59.374794,-59.70186,-60.854168,nan,-57.115734,-49.63703,-59.683098
-52.956738,-60.658276,-44.643116,-59.399025,-59.769577,-60.637577,nan,-57.80787,-49.293495,-59.657337
-52.003906,-60.268185,-44.63129,-59.376427,-59.990124,-60.91939,nan,-56.648262,-46.410313,-59.755444
-50.57242,-60.860085,-44.682465,-59.440487,-60.125294,-60.801327,nan,-56.752728,-45.699905,-59.748444
-49.77475,-61.788376,-44.6297,-59.391407,-59.66729,-60.375248,nan,-55.850567,-45.412453,-59.717525
-49.54404,-61.612194,-44.607918,-59.1995,-59.629932,-57.720005,nan,-55.461414,-45.22268,-59.63755
-48.428745,-62.049816,-44.54506,-59.1884,-59.530704,-57.613285,nan,-54.795464,-45.027954,-59.551296
-48.232796,-62.026062,-44.580093,-59.172348,-59.42412,-60.254448,nan,-52.924763,-45.431408,-59.592064
-47.751938,-61.357883,-44.6443,-59.16935,-59.434647,-59.8657,nan,-52.34457,-46.461407,-59.58232
-47.47393,-61.84654,-44.52164,-59.174603,-59.392384,-60.136974,nan,-50.675343,-46.707493,-59.558273
-46.424866,-60.66657,-44.487125,-59.17177,-59.314404,-60.334633,nan,-47.87954,-45.587074,-59.590424
-46.116642,-61.115326,-44.478054,-59.138664,-59.227306,-60.180164,nan,-46.900032,-45.12193,-59.539837
-45.83473,-61.376682,-44.455814,-59.15364,-59.190197,-59.870926,nan,-46.822357,-44.84178,-59.525978
-45.507,-60.18127,-44.453358,-59.156822,-59.22449,-59.472813,nan,-46.77178,-44.712784,-59.587727
-45.08784,-58.598396,-44.46342,-59.16441,-59.19207,-59.547245,nan,-46.46489,-44.58558,-59.52062
-45.37186,-58.057438,-44.43616,-59.157215,-59.14453,-59.347893,nan,-46.179485,-44.73945,-59.414677
-44.94642,-58.473103,-44.413727,-59.16295,-59.13036,-60.047436,nan,-45.950012,-44.571335,-59.434116
-44.71512,-58.65516,-44.43143,-59.154873,-59.269897,-59.093033,nan,-45.731606,-44.502132,-59.443867
-44.639,-58.338963,-44.492683,-59.15159,-59.211212,-59.292324,nan,-45.79186,-44.447266,-59.422577
-44.640045,-58.198006,-44.44532,-59.158016,-59.137703,-60.166992,nan,-45.437675,-44.429413,-59.39972
-44.731903,-58.161507,-44.419533,-59.14789,-58.79697,-59.593193,nan,-45.281765,-44.435474,-59.375187
-44.587673,-58.369564,-44.35988,-59.130928,-58.95584,-60.13834,nan,-45.522495,-44.429493,-59.334244
-44.682545,-58.39904,-44.37032,-59.155266,-58.959766,-59.287514,nan,-44.993176,-44.408463,-59.356804
-44.515812,-58.090122,-44.342136,-59.158432,-58.998432,-58.372128,nan,-45.00799,-44.36814,-59.27786
-44.425922,-58.17936,-44.36622,-59.15134,-59.0968,-58.1952,nan,-44.98229,-44.38232,-59.26603
-44.468304,-58.406136,-44.390766,-59.145084,-59.089905,-57.216984,nan,-44.864952,-44.36997,-59.279453
-44.425785,-58.56914,-44.345524,-59.15193,-59.064144,-57.742992,nan,-44.81054,-44.334908,-59.270584
-44.430748,-58.092705,-44.30969,-59.163406,-59.075268,-57.744225,nan,-44.77339,-44.35017,-59.272964
-44.376507,-57.85065,-44.319313,-59.151173,-59.08663,-58.056282,nan,-44.772327,-44.297096,-59.27179
-44.400105,-57.90725,-44.327915,-59.1678,-59.103127,-58.498703,nan,-44.749405,-44.379322,-59.254715
-44.37242,-57.724052,-44.32853,-59.157295,-59.087418,-58.102757,nan,-44.57588,-44.30218,-59.275085
-44.377613,-57.53143,-44.276897,-59.13361,-59.091286,-55.067844,nan,-44.596275,-44.35992,-59.21933
-44.402634,-56.57899,-44.270184,-59.164948,-59.093407,-47.930023,nan,-44.529858,-44.32668,-59.23111
-44.403103,-56.561752,-44.32915,-59.149574,-59.09136,-46.55989,nan,-44.50901,-44.292988,-59.208492
-44.388577,-54.295204,-44.32628,-59.14103,-59.073578,-45.862095,nan,-44.498383,-44.297523,-59.21439
-44.399338,-53.25448,-44.29942,-59.13455,-59.066025,-45.587936,nan,-44.520687,-44.303318,-59.245953
-44.362804,-51.58248,-44.372738,-59.146187,-59.064835,-44.783478,nan,-44.479088,-44.315258,-59.23217
-44.41448,-51.084187,-45.960453,-59.162205,-59.054523,-44.492416,nan,-44.44939,-44.362164,-59.244022
-44.398045,-49.13211,-44.35151,-59.162914,-59.057724,-44.490215,nan,-44.46254,-44.295055,-59.24189
-44.391453,-48.020046,-44.31018,-59.17286,-59.06832,-44.538536,nan,-44.486923,-44.279118,-59.200375
-44.326565,-47.55938,-44.314022,-59.172745,-59.082497,-44.57593,nan,-44.490765,-44.297836,-59.184273
-44.34044,-47.216274,-44.296234,-59.15118,-59.102036,-44.544277,nan,-44.393875,-44.234165,-59.193344
-44.239967,-46.485962,-44.300423,-59.160744,-59.127956,-44.47392,nan,-44.428444,-44.20996,-59.180866
-44.26964,-46.215065,-44.30947,-59.134853,-59.121994,-44.465458,nan,-44.4309,-44.243477,-59.17639
-44.262306,-46.045364,-44.7698,-59.161594,-59.113686,-44.366695,nan,-44.377968,-44.22832,-59.176353
-44.277782,-45.41753,-45.76306,-59.160698,-59.127422,-44.520233,nan,-44.39955,-44.163548,-59.167282
-44.30518,-45.44118,-48.37098,-59.159363,-59.14177,-44.41758,nan,-44.413647,-44.20134,-59.16982
-44.304646,-45.15842,-45.989517,-59.129585,-59.11831,-44.378464,nan,-44.348164,-44.194202,-59.173237
-44.23875,-45.075043,-53.120045,-59.144463,-59.14665,-44.37187,nan,-44.374218,-44.166718,-59.145058
-44.24894,-44.827602,-46.756958,-59.15303,-59.13982,-44.358944,nan,-44.34349,-44.181957,-59.171093
-44.22152,-44.746124,-46.96314,-59.150993,-59.126266,-44.41334,nan,-44.36218,-44.141773,-59.14596
-44.19122,-44.722557,-52.351093,-59.1444,-59.123016,-44.27507,nan,-44.35447,-44.146763,-59.157757
-44.18399,-44.7307,-49.524914,-59.140827,-59.121006,-44.331375,nan,-44.30534,-44.11675,-59.15332
-44.244175,-44.684387,-46.702225,-59.135025,-59.13793,-44.293045,nan,-44.33752,-44.11607,-59.152016
-44.159718,-44.68303,-49.432114,-59.140957,-59.13197,-44.396885,nan,-44.35173,-44.092087,-59.15399
-44.17174,-44.5877,-51.96313,-59.150696,-59.13526,-44.346012,nan,-44.395515,-44.172134,-59.15243
-44.156876,-44.570644,-47.808556,-59.14681,-59.101097,-44.30548,nan,-44.39031,-44.11074,-59.156174
-44.18279,-44.534756,-50.21166,-59.159187,-59.122566,-44.347267,nan,-44.277977,-44.146004,-59.185665
-44.17668,-44.567577,-45.133087,-59.14779,-59.098248,-44.360092,nan,-44.322727,-44.13106,-59.176125
-44.14882,-44.573124,-44.482124,-59.14923,-59.10601,-44.32811,nan,-44.314583,-44.10954,-59.153164
-44.126072,-44.53482,-44.567093,-59.142963,-59.0659,-44.317547,nan,-44.23936,-44.155037,-59.155834
-44.139915,-44.505764,-44.45177,-59.144127,-59.107376,-44.26854,nan,-44.251,-44.14361,-59.17748
-44.172413,-44.45469,-44.465782,-59.144955,-59.07432,-44.228283,nan,-44.199223,-44.138256,-59.136524
-44.153343,-44.499947,-44.890533,-59.151115,-59.02143,-44.271336,nan,-44.22029,-44.109966,-59.150864
-44.151928,-44.454407,-44.58104,-59.151184,-59.02896,-44.258324,nan,-44.251408,-44.134365,-59.140797
-44.172062,-44.4453,-44.471478,-59.14311,-59.040085,-44.12672,nan,-44.23263,-44.077835,-59.144268
-44.085407,-44.40676,-44.62728,-59.15213,-59.049953,-44.074932,nan,-44.150307,-44.092014,-59.14061
-44.117928,-44.37903,-44.475006,-59.14165,-58.95885,-44.096516,nan,-44.184994,-44.10198,-59.13289
-44.12804,-44.38345,-44.514744,-59.164547,-58.97839,-44.115616,nan,-44.164078,-44.106205,-59.143353
-44.112106,-44.387062,-44.47102,-59.16975,-58.99145,-44.13885,nan,-44.159042,-44.12176,-59.124958
-44.138405,-44.329987,-44.38675,-59.13505,-58.965992,-44.122112,nan,-44.0958,-44.100555,-59.07435
-44.147797,-44.33433,-44.340782,-59.142887,-58.99796,-44.111195,nan,-44.15407,-44.11941,-59.138145
