run0,run1,run2,run3,run4
-62.502445,-59.478115,-62.37794,-69.247505,-70.17225
-68.05033,-52.384647,-63.290947,-66.10177,nan
-67.34665,-47.960247,-60.692024,-64.47414,nan
-65.00264,-47.501266,-61.38017,-62.369564,nan
-64.52987,-46.91624,-60.431515,-62.210617,nan
-64.60576,-46.02847,-60.44809,-60.312927,nan
-63.95464,-45.659874,-60.942616,-60.329853,nan
-63.97108,-45.685345,-61.320366,-60.02367,nan
-63.817314,-45.495472,-60.16604,-60.360203,nan
-63.794037,-45.545624,-59.905144,-60.983604,nan
-63.81933,-45.715336,-59.985054,-60.82848,nan
-63.745815,-45.4599,-59.808395,-61.405663,nan
-63.593704,-45.39415,-59.65825,-61.50839,nan
-63.529716,-45.261795,-59.82128,-62.45545,nan
-63.393078,-45.241135,-59.536976,-62.073578,nan
-63.2731,-45.271202,-59.592907,-63.162056,nan
-63.31892,-45.21055,-59.48697,-63.448135,nan
-63.333168,-45.160572,-59.51354,-61.496666,nan
-63.39909,-45.204422,-59.409447,-62.227444,nan
-63.298634,-45.204803,-59.296597,-61.83607,nan
-63.120377,-45.13013,-59.26769,-61.89332,nan
-63.073166,-45.14846,-59.27435,-60.871025,nan
-63.048717,-45.121994,-59.284523,-60.63004,nan
-63.042538,-45.064972,-59.27843,-60.562454,nan
-63.07318,-45.027206,-59.27548,-60.12831,nan
-63.14105,-45.169804,-59.32634,-60.00357,nan
-63.21005,-45.144966,-59.335888,-59.9861,nan
-63.224487,-44.99885,-59.36041,-59.900726,nan
-63.1206,-45.013145,-59.31608,-59.977493,nan
-63.1289,-46.041862,-59.233696,-59.845562,nan
-63.31672,-45.00342,-59.200882,-59.65376,nan
-63.311375,-45.003017,-59.18519,-59.869686,nan
-63.46706,-44.9535,-59.21315,-59.787033,nan
-63.85339,-44.88728,-59.18738,-59.75411,nan
-63.608185,-44.934875,-59.18584,-59.571022,nan
-63.190617,-44.830456,-59.15841,-59.60286,nan
-63.092793,-44.88321,-59.15764,-59.495533,nan
-63.162827,-44.856712,-59.177197,-59.400063,nan
-62.94512,-44.827705,-59.173405,-59.36132,nan
-62.788845,-44.82798,-59.168488,-59.28764,nan
-62.820084,-44.84975,-59.18329,-59.294662,nan
-62.72113,-44.797222,-59.158463,-59.2705,nan
-62.624203,-44.79498,-59.10704,-59.268562,nan
-62.67148,-44.81338,-59.10896,-59.249836,nan
-62.670357,-44.822624,-59.094135,-59.259205,nan
-62.55277,-44.802948,-59.08787,-59.240753,nan
-62.447884,-44.832535,-59.118,-59.218273,nan
-62.52419,-44.820953,-59.203,-59.24827,nan
-62.555977,-44.82584,-59.162197,-59.229305,nan
-62.42095,-44.778423,-59.196163,-59.19435,nan
-62.578156,-44.780018,-59.19471,-59.143,nan
-62.74935,-44.78876,-59.15104,-59.10605,nan
-62.73918,-44.833084,-59.161125,-59.091415,nan
-62.909313,-44.80564,-59.148647,-58.910973,nan
-63.100357,-44.799126,-59.137257,-59.103962,nan
-63.15672,-44.7898,-59.126675,-59.070293,nan
-63.251904,-44.76814,-59.133568,-59.07521,nan
-63.261784,-44.83443,-59.132168,-59.11967,nan
-63.577087,-44.7657,-59.11356,-59.128143,nan
-63.384926,-44.76886,-59.126526,-59.130894,nan
-63.323,-44.797935,-59.10631,-59.132492,nan
-63.346767,-44.789413,-59.10278,-59.14696,nan
-63.30204,-44.771957,-59.148945,-59.126667,nan
-63.170715,-44.780136,-59.149574,-59.109554,nan
-63.37528,-44.796974,-59.117023,-59.098858,nan
-63.413063,-44.772907,-59.1391,-59.03081,nan
-62.961475,-44.798985,-59.12931,-59.052094,nan
-62.933853,-44.775085,-59.128654,-58.97429,nan
-62.844593,-44.797333,-59.122517,-58.742287,nan
-62.5484,-44.749233,-59.140747,-58.0677,nan
-62.574814,-44.808846,-59.132687,-58.78903,nan
-62.436256,-44.772358,-59.123623,-59.022537,nan
-62.566235,-44.8065,-59.150764,-58.941105,nan
-62.7025,-44.766884,-59.146694,-59.04156,nan
-62.596397,-44.75082,-59.133453,-59.043457,nan
-62.44067,-44.79743,-59.12734,-59.0644,nan
-62.357796,-44.764675,-59.126617,-59.03863,nan
-62.19792,-44.763374,-59.136787,-59.094658,nan
-62.287952,-44.76724,-59.121475,-59.064156,nan
-62.229153,-44.761734,-59.149086,-59.08833,nan
-62.379467,-44.804688,-59.135803,-59.092445,nan
-62.49604,-44.78271,-59.12017,-59.038376,nan
-62.672043,-44.76687,-59.119423,-59.097656,nan
-62.721775,-44.787437,-59.081425,-59.082455,nan
-63.070095,-44.768276,-59.08389,-59.099842,nan
-62.99131,-44.767124,-59.057148,-59.11419,nan
-63.105007,-44.758347,-59.030415,-59.116894,nan
-63.352512,-44.78021,-58.993793,-59.09027,nan
-63.337196,-44.75028,-59.062286,-59.11059,nan
-63.349316,-44.74182,-59.03108,-59.131775,nan
-63.53646,-44.77208,-59.08982,-59.109882,nan
-63.64911,-44.75062,-59.109226,-59.10557,nan
-63.351387,-44.76962,-59.073032,-59.108128,nan
-63.376053,-44.74861,-59.06407,-59.10816,nan
-63.373043,-44.7879,-59.09978,-59.124836,nan
-63.34862,-44.782833,-59.081047,-59.11786,nan
-63.309822,-44.75282,-59.109253,-59.099667,nan
-63.54044,-44.772945,-59.126015,-59.107113,nan
-63.646587,-44.799656,-59.075054,-59.124065,nan
-63.44999,-44.76802,-59.1079,-59.134995,nan
