run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
-74.01974,-75.45339,-43.42663,-78.336876,-90.7028,-73.35255,-65.734695,-88.04577,-59.902157,-53.43235
-80.33928,-73.52958,-35.770847,-76.17081,-91.24306,nan,-71.64135,-74.13783,-65.72513,-43.464127
-73.73899,-71.864845,-35.747158,-74.5471,-91.20206,nan,-72.29062,-74.753174,-47.956154,-39.945866
-73.80603,-67.31925,-35.756733,-74.506355,-91.07955,nan,-72.89471,-72.1325,-46.68457,-38.31866
-73.791,-49.816765,-36.156837,-74.51162,-90.88534,nan,-73.13962,-74.26586,-45.387844,-38.477978
-73.788025,-44.551174,-36.02812,-74.55529,-91.06804,nan,-73.1285,-76.09225,-42.914825,-38.259434
-73.79941,-41.419277,-36.40365,-74.34239,-91.152176,nan,-73.2002,-71.888054,-41.699142,-38.593845
-73.78525,-39.96793,-35.654224,-74.119156,-90.98648,nan,-72.97186,-70.36494,-41.137512,-38.352493
-73.80557,-37.4182,-35.68399,-74.221504,-90.95002,nan,-73.20777,-70.78259,-40.99194,-37.939655
-73.798454,-37.166656,-35.73675,-74.33652,-90.77955,nan,-73.31058,-68.03073,-40.53257,-37.704784
-73.8012,-37.121525,-35.706837,-74.30936,-90.06599,nan,-73.17602,-68.62562,-40.192406,-37.35826
-73.787125,-37.08767,-35.67854,-74.29206,-85.50292,nan,-73.20995,-67.966995,-39.820366,-37.098083
-73.783195,-36.894886,-35.71803,-74.253555,-82.48561,nan,-73.28641,-67.53741,-39.610336,-37.079697
-73.77656,-36.782875,-35.657467,-74.22167,-70.86403,nan,-73.31416,-64.027626,-39.26387,-37.124462
-73.78319,-36.703625,-35.683365,-74.151955,-72.31389,nan,-73.282234,-62.130714,-39.090942,-37.00224
-73.79379,-36.62643,-35.637062,-74.05231,-67.17016,nan,-73.26802,-64.04626,-38.61258,-36.915833
-73.792984,-36.559444,-35.68115,-74.06088,-64.59501,nan,-73.31503,-62.32411,-38.411385,-36.593258
-73.793365,-36.605156,-35.717743,-74.02612,-61.187283,nan,-73.30005,-57.763596,-38.13309,-36.548885
-73.800186,-36.377285,-35.634434,-73.97129,-59.89557,nan,-73.0908,-56.51825,-38.135883,-36.453976
-73.79569,-36.222775,-35.65661,-73.97333,-58.746197,nan,-72.641685,-54.586136,-38.031742,-36.368874
-73.80758,-36.197594,-35.5948,-73.97923,-58.368187,nan,-72.49664,-53.214806,-37.791996,-36.29954
-73.79564,-36.149704,-35.670437,-73.966705,-58.24981,nan,-72.65182,-52.727135,-37.607983,-36.266365
-73.78305,-36.128197,-35.656193,-73.97901,-58.176662,nan,-72.270065,-52.079624,-37.521755,-36.19871
-73.78929,-36.092045,-35.65905,-74.05958,-57.27866,nan,-71.43249,-51.70747,-37.446564,-36.140438
-73.809235,-36.054306,-35.62886,-74.068504,-56.863354,nan,-70.95984,-49.5586,-37.306797,-36.153183
-73.79219,-35.99672,-35.628563,-74.08174,-56.044075,nan,-68.9634,-47.375984,-37.299984,-36.190155
-73.78493,-35.994884,-35.65063,-74.093185,-56.602444,nan,-66.37105,-44.328365,-37.426975,-36.15925
-73.793015,-35.987125,-35.601116,-74.09497,-56.497356,nan,-68.859634,-42.259914,-37.578556,-36.133156
-73.80383,-35.945107,-35.60686,-74.07981,-56.56106,nan,-62.781376,-40.91111,-37.50957,-36.124348
-73.81663,-35.924572,-35.589855,-74.141815,-55.26289,nan,-67.49851,-40.255493,-37.405094,-36.076397
-73.79651,-35.93894,-35.642906,-74.04786,-54.319344,nan,-60.312992,-39.686977,-37.288795,-36.035923
-73.79935,-35.895176,-35.659096,-74.20803,-54.101337,nan,-59.51446,-39.34742,-37.282978,-36.053493
-73.80383,-35.967598,-35.673943,-74.078125,-53.94782,nan,-59.00465,-38.946564,-37.169697,-36.02622
-73.81297,-35.934734,-35.68757,-73.96128,-53.358837,nan,-58.528877,-38.789543,-37.006477,-36.0111
-73.79473,-35.90882,-35.668335,-73.958206,-52.73743,nan,-57.06968,-38.82977,-36.941532,-35.98577
-73.79363,-35.908108,-35.699646,-73.92208,-52.118935,nan,-56.670994,-38.44102,-36.72197,-35.952408
-73.78153,-35.93096,-35.688583,-73.901184,-51.81182,nan,-56.047153,-38.27543,-36.692562,-35.930424
