run0,run1,run2,run3,run4
-82.31283,-68.370026,-68.6863,-73.18024,-88.3241
-69.74547,-68.35835,-68.36578,nan,-65.214
-67.8463,-68.36195,-68.38317,nan,-38.199886
-55.667667,-68.35122,-68.37133,nan,-36.961967
-37.707813,-68.36689,-68.35958,nan,-36.519867
-35.650517,-68.356186,-68.35446,nan,-36.183136
-35.30377,-68.33859,-68.36094,nan,-36.180664
-35.150772,-68.35789,-68.36069,nan,-36.152164
-35.024883,-68.358894,-68.38425,nan,-36.10807
-35.057125,-68.371346,-68.41261,nan,-36.087196
-35.041943,-68.354675,-68.44098,nan,-36.146698
-35.03978,-68.35131,-68.44732,nan,-36.028732
-34.93299,-68.34044,-68.39572,nan,-35.957233
-34.896896,-68.35347,-68.354065,nan,-36.00835
-34.858562,-68.37011,-68.336586,nan,-35.9391
-34.7405,-68.359955,-68.05336,nan,-35.898304
-34.71518,-68.3603,-67.89295,nan,-35.909985
-34.570065,-68.392075,-68.35225,nan,-35.897175
-34.682236,-68.35622,-68.365326,nan,-35.889164
-34.541294,-68.36842,-68.36897,nan,-35.879677
-34.75207,-68.35765,-68.35346,nan,-35.846542
-34.379257,-68.362495,-68.35741,nan,-35.812065
-34.210213,-68.36647,-68.3753,nan,-35.844086
-34.349422,-68.350525,-68.35365,nan,-35.822056
-34.158466,-68.35911,-68.32827,nan,-35.828842
-33.921024,-68.372375,-68.33694,nan,-35.84491
-33.901855,-68.35513,-68.29577,nan,-35.83508
-33.863804,-68.3581,-68.25621,nan,-35.833187
-34.37582,-68.363846,-68.31606,nan,-35.83024
-33.961525,-68.35039,-68.329124,nan,-35.836742
-33.80331,-68.35448,-68.282906,nan,-35.8072
-33.74929,-68.35426,-68.28693,nan,-35.804844
-33.60358,-68.34836,-68.29255,nan,-35.8305
-33.629406,-68.35212,-68.343994,nan,-35.803547
-33.649853,-68.355835,-68.337776,nan,-35.81367
-33.624798,-68.3528,-68.33933,nan,-35.812664
-33.57516,-68.370804,-68.329216,nan,-35.796383
-33.66754,-68.36838,-68.29557,nan,-35.80506
-33.54403,-68.351654,-68.26414,nan,-35.82768
-33.492813,-68.31617,-68.16344,nan,-35.813713
-33.482296,-68.36291,-67.70809,nan,-35.76425
-33.541546,-68.34129,-49.694595,nan,-35.7844
-33.489204,-68.35538,-47.8684,nan,-35.83461
-33.44878,-68.33971,-48.752663,nan,-35.79844
-33.722603,-68.35432,-46.01283,nan,-35.765007
-33.365337,-68.36097,-36.907486,nan,-35.793407
-33.351704,-68.33239,-35.88689,nan,-35.772808
-33.324272,-68.3443,-35.63682,nan,-35.749546
-33.376667,-68.3318,-35.378742,nan,-35.73574
-33.346355,-67.750435,-34.86226,nan,-35.768566
-33.39804,-68.32037,-34.655655,nan,-35.788765
-33.312195,-68.29131,-34.547413,nan,-35.773266
-33.383156,-68.32766,-34.442093,nan,-35.766987
-33.332355,-68.35843,-34.42723,nan,-35.727573
-33.525078,-68.3602,-34.401257,nan,-35.762566
-33.43024,-68.339714,-34.281895,nan,-35.74874
-33.431282,-68.34564,-34.163525,nan,-35.73568
-33.345085,-68.31326,-34.16556,nan,-35.763866
-33.36381,-67.21728,-34.089863,nan,-35.73685
-33.315884,-63.426685,-33.950947,nan,-35.756176
-33.789917,-59.02436,-34.076504,nan,-35.751938
-33.355507,-47.272427,-34.030243,nan,-35.752777
-33.254494,-38.768272,-34.548393,nan,-35.738842
-33.26114,-36.08498,-35.461987,nan,-35.70961
-33.26311,-36.06961,-34.926918,nan,-35.74317
-33.250114,-35.958992,-33.99368,nan,-35.7674
-33.288902,-35.919903,-34.219673,nan,-35.74118
-33.587196,-35.84886,-33.989822,nan,-35.725517
-34.03843,-35.89805,-34.381172,nan,-35.719402
-33.23408,-35.849197,-33.831295,nan,-35.762756
-33.21573,-35.847145,-34.04697,nan,-35.76366
-33.360737,-35.825176,-33.87236,nan,-35.74526
-33.630947,-35.810696,-34.180836,nan,-35.761517
-33.537434,-35.803173,-34.65353,nan,-35.72586
-34.139328,-35.82401,-33.670986,nan,-35.75689
-33.80717,-35.836155,-33.632305,nan,-35.75132
-33.741898,-35.82279,-34.382,nan,-35.760468
-33.480984,-35.785614,-35.444267,nan,-35.765556
-33.530365,-35.78169,-34.857292,nan,-35.736324
-33.176056,-35.765797,-34.163837,nan,-35.74002
-33.136307,-35.793938,-34.835056,nan,-35.70755
-33.08586,-35.789604,-33.65233,nan,-35.728306
-33.21408,-35.777634,-34.36429,nan,-35.738743
-33.189987,-35.790493,-34.06599,nan,-35.753414
-33.117874,-35.757977,-33.953285,nan,-35.74891
-33.08437,-35.79841,-34.15698,nan,-35.739594
-33.102894,-35.782505,-33.658062,nan,-35.747276
-33.120296,-35.74833,-33.86357,nan,-35.747883
-33.12092,-35.766544,-33.80833,nan,-35.726097
-33.138256,-35.764915,-35.092472,nan,-35.715755
-33.501633,-35.741577,-33.548824,nan,-35.710457
-33.084274,-35.762215,-33.50048,nan,-35.723198
-33.224148,-35.764233,-33.56393,nan,-35.742126
-33.10947,-35.718624,-33.756744,nan,-35.75047
-33.01368,-35.770016,-34.29203,nan,-35.7277
-33.18261,-35.74997,-35.321392,nan,-35.73
-33.8141,-35.739456,-33.858555,nan,-35.734886
-34.199654,-35.74928,-33.48303,nan,-35.710594
-33.063026,-35.744698,-33.40482,nan,-35.739346
-33.05701,-35.766914,-33.489723,nan,-35.70279
