run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
-49.58479,-61.78955,-66.53195,-62.46489,-60.828297,-63.214794,-59.482788,-41.199314,-61.03408,-59.90433
-42.97083,-60.803852,-65.2429,-62.592236,-56.838173,-65.30984,-52.783226,-40.724453,-60.786915,-59.232903
-43.183266,-59.22645,-67.94647,-60.03646,-55.017536,-60.298977,-53.815693,-40.712223,-60.46973,-59.195957
-41.777664,-59.11939,-65.59978,-59.85247,-54.282093,-62.25484,-54.501484,-40.733463,-60.37228,-59.189167
-41.47067,-58.99232,-65.76616,-59.410156,-51.90372,-64.36518,-54.26321,-40.680904,-60.049023,-59.18089
-41.324608,-58.767136,-65.20865,-58.678078,-52.080605,-61.99694,-54.352562,-40.7029,-60.4606,-59.168392
-41.158905,-56.551693,-65.56246,-57.533913,-49.5315,-63.364025,-54.626686,-40.740005,-60.269203,-59.160976
-41.130577,-50.266346,-65.045685,-57.350677,-43.95316,-64.676895,-52.87617,-40.64941,-60.09219,-59.15045
-41.094913,-48.55919,-64.31624,-56.216824,-43.00635,-65.32429,-51.151264,-40.682003,-59.145084,-59.162796
-40.975704,-46.962097,-63.831635,-56.157288,-41.332546,-63.586086,-50.393063,-40.6619,-55.2427,-59.144577
-40.95048,-44.937416,-64.53643,-55.771336,-41.03848,-63.525917,-49.638306,-40.713978,-50.684444,-59.14455
-40.90523,-42.51464,-63.401684,-55.064316,-40.965546,-63.861767,-48.68733,-40.636806,-50.862896,-59.124977
-40.82277,-42.657925,-63.43665,-55.535362,-40.92334,-64.102806,-46.968475,-40.72695,-47.325127,-59.139744
-40.823997,-42.409092,-63.560436,-52.263382,-40.850494,-64.25758,-45.361805,-40.688755,-42.415714,-59.13613
-40.77416,-42.025864,-64.93694,-44.07071,-40.886875,-64.10567,-44.640625,-40.694794,-42.107082,-59.147816
-40.78571,-42.030888,-65.32743,-42.18796,-40.85786,-64.01573,-43.86496,-40.679825,-41.82807,-59.14402
-40.78847,-42.00953,-65.94568,-41.857132,-40.82747,-63.72458,-43.368164,-40.674988,-41.729523,-59.135113
-40.763084,-41.71536,-64.39449,-41.391342,-40.73323,-63.529427,-43.126686,-40.718964,-41.37482,-59.15639
-40.80321,-41.74873,-63.826458,-41.20759,-40.764927,-63.47057,-42.707188,-40.649464,-41.144627,-59.16677
-40.696842,-41.560993,-63.99118,-41.14325,-40.8026,-63.41427,-42.520374,-40.650394,-41.11531,-59.156418
-40.738358,-41.285477,-63.326523,-41.120052,-40.744507,-63.534763,-42.50495,-40.687042,-41.05611,-59.131123
-40.72396,-41.2555,-62.507587,-41.151245,-40.73893,-63.73694,-42.039753,-40.66472,-40.949574,-59.150883
-40.749058,-41.181095,-62.027523,-41.00696,-40.78356,-63.579952,-41.8072,-40.707783,-40.89178,-59.142292
-40.72745,-41.154167,-61.618843,-41.009678,-40.725754,-63.39576,-41.733616,-40.66217,-40.91711,-59.137436
-40.713943,-41.156677,-61.389984,-41.003197,-40.69318,-63.35054,-41.7215,-40.65228,-40.963886,-59.14479
-40.696762,-41.076843,-61.58754,-40.974472,-40.692657,-63.41364,-41.548534,-40.65622,-40.880726,-59.15783
-40.702705,-41.060406,-61.27074,-40.984272,-40.64507,-63.443096,-41.417336,-40.68761,-40.87483,-59.14032
-40.681976,-41.022774,-61.777485,-40.972942,-40.723576,-63.510185,-41.413197,-40.637123,-40.80355,-59.13983
-40.69244,-41.020382,-61.683235,-40.95458,-40.70814,-63.954155,-41.279743,-40.66973,-40.87714,-59.158554
-40.683327,-40.95106,-62.08975,-40.91149,-40.712326,-64.87482,-41.24551,-40.656662,-40.775227,-59.137875
-40.71231,-40.909454,-61.46633,-40.87664,-40.713703,-64.25854,-41.207947,-40.657337,-40.703224,-59.162636
-40.679207,-40.878624,-61.873238,-40.820763,-40.67338,-64.22377,-41.183704,-40.667774,-40.762337,-59.161118
-40.70925,-40.865353,-62.675877,-40.860992,-40.689056,-64.21071,-41.11888,-40.678745,-40.73611,-59.16011
-40.687305,-40.847183,-63.768814,-40.804073,-40.68228,-64.18813,-41.106266,-40.656586,-40.72411,-59.16164
-40.727005,-40.871696,-62.817642,-40.839737,-40.638023,-64.1583,-41.058647,-40.654587,-40.75655,-59.15344
-40.69552,-40.840126,-64.57481,-40.808304,-40.700302,-64.16871,-41.06943,-40.661522,-40.74254,-59.14914
-40.690334,-40.828674,-63.1344,-40.80881,-40.72975,-64.93565,-40.97916,-40.71518,-40.74075,-59.13088
-40.698704,-40.848907,-63.352436,-40.762043,-40.698353,-65.6453,-40.95647,-40.64311,-40.709312,-59.145393
-40.694736,-40.836533,-63.947956,-40.799675,-40.653225,-65.092384,-40.91914,-40.670193,-40.727913,-59.149174
-40.717617,-40.801373,-64.7948,-40.81595,-40.646774,-65.229836,-40.845413,-40.70679,-40.70619,-59.1549
-40.68146,-40.79721,-64.40877,-40.7982,-40.685093,-63.687798,-40.892006,-40.685123,-40.71181,-59.159065
-40.72551,-40.773224,-64.45109,-40.760483,-40.691696,-63.760326,-40.87482,-40.68868,-40.7222,-59.139183
-40.685913,-40.801186,-62.565735,-40.764656,-40.64283,-63.80372,-40.84832,-40.67157,-40.73393,-59.144955
-40.648636,-40.786724,-61.770367,-40.739788,-40.6806,-64.011894,-40.85628,-40.693386,-40.673424,-59.133392
-40.695595,-40.74679,-61.797024,-40.758938,-40.674034,-63.82181,-40.809196,-40.665794,-40.744495,-59.130913
-40.675503,-40.805054,-61.520767,-40.733784,-40.68831,-63.281166,-40.829124,-40.65975,-40.686684,-59.156338
-40.680016,-40.76754,-61.617336,-40.729862,-40.69327,-63.169216,-40.77878,-40.668137,-40.677532,-59.140297
-40.66111,-40.761734,-61.17283,-40.710026,-40.660843,-61.816593,-40.786636,-40.618225,-40.720703,-59.13903
-40.651436,-40.732628,-61.265602,-40.728817,-40.679806,-61.34219,-40.735405,-40.71407,-40.704258,-59.157482
-40.699547,-40.712242,-61.330395,-40.67786,-40.681286,-61.348186,-40.756577,-40.667366,-40.71111,-59.12994
-40.65081,-40.72741,-61.227203,-40.727886,-40.654842,-61.799267,-40.74393,-40.63953,-40.724625,-59.147305
-40.676483,-40.71365,-61.016586,-40.699757,-40.675716,-62.30484,-40.73496,-40.666134,-40.690205,-59.136063
-40.691643,-40.72106,-60.886295,-40.727962,-40.694508,-63.12336,-40.69593,-40.653084,-40.669003,-59.148354
-40.68673,-40.74626,-61.26603,-40.71603,-40.67831,-63.508575,-40.74446,-40.672874,-40.686737,-59.133835
-40.678192,-40.698177,-60.669914,-40.693,-40.6728,-63.706734,-40.72196,-40.667416,-40.673904,-59.1573
-40.70179,-40.720978,-60.619038,-40.706627,-40.725742,-63.178978,-40.673588,-40.64898,-40.717102,-59.1611
-40.67285,-40.7256,-60.685635,-40.714386,-40.66708,-62.6341,-40.715397,-40.686954,-40.69383,-59.140472
-40.732094,-40.716854,-60.483196,-40.72938,-40.67875,-61.331955,-40.709858,-40.643394,-40.71347,-59.16076
-40.652447,-40.69149,-60.45375,-40.721603,-40.685505,-61.292496,-40.72235,-40.7071,-40.702988,-59.15531
-40.706596,-40.69941,-60.00432,-40.709644,-40.673553,-61.834778,-40.758736,-40.676296,-40.67254,-59.130295
-40.6701,-40.72862,-59.928173,-40.659267,-40.6639,-62.78143,-40.70911,-40.669632,-40.662727,-59.13953
-40.673473,-40.70297,-59.91535,-40.698055,-40.65174,-62.493122,-40.72844,-40.676117,-40.690205,-59.145714
-40.643127,-40.71899,-59.962883,-40.69182,-40.674297,-61.94738,-40.68726,-40.664665,-40.676456,-59.15648
-40.69366,-40.658817,-60.02153,-40.66079,-40.698353,-63.10713,-40.715836,-40.66924,-40.684772,-59.13729
