run0,run1,run2,run3,run4
-63.61692,-65.60398,-62.302677,-47.857925,-54.035206
-64.73896,nan,-62.278397,-42.1475,-54.14029
-66.86512,nan,-61.716408,-41.63912,-45.21743
-63.386105,nan,-59.545147,-41.79827,-43.635983
-62.64591,nan,-58.7357,-41.22882,-41.479492
-62.488613,nan,-61.020798,-41.032314,-41.50724
-62.3494,nan,-61.08765,-40.974274,-41.424084
-61.74635,nan,-58.728592,-40.930016,-41.398895
-61.23593,nan,-58.438675,-40.910053,-41.144375
-61.180954,nan,-58.697025,-40.87419,-41.07537
-60.76819,nan,-56.909256,-40.824688,-40.993206
-60.70256,nan,-56.462288,-40.85068,-40.97372
-60.227898,nan,-56.684017,-40.76454,-40.954704
-60.997295,nan,-56.18088,-40.741524,-40.905914
-60.017464,nan,-56.338425,-40.705265,-40.904366
-59.59525,nan,-56.024853,-40.71579,-40.82354
-59.256313,nan,-55.695076,-40.670647,-40.795773
-59.156643,nan,-55.199722,-40.71799,-40.791954
-59.49558,nan,-55.06638,-40.70978,-40.814716
-59.40248,nan,-54.967278,-40.710735,-40.77597
-59.169815,nan,-54.678555,-40.72308,-40.81416
-60.102955,nan,-53.376865,-40.64566,-40.75143
-60.195297,nan,-53.257874,-40.700428,-40.773056
-60.799618,nan,-52.817863,-40.71155,-40.7265
-59.733227,nan,-51.094875,-40.70817,-40.764713
-57.757698,nan,-50.149902,-40.67409,-40.75866
-58.027164,nan,-47.858772,-40.677296,-40.73017
-57.4368,nan,-47.487064,-40.659622,-40.739384
-57.921146,nan,-47.26855,-40.692554,-40.695263
-57.61013,nan,-46.958393,-40.734463,-40.7273
-57.884594,nan,-45.15643,-40.657494,-40.737312
-57.58069,nan,-45.033413,-40.723988,-40.751026
-55.80336,nan,-44.222652,-40.708427,-40.68035
-55.103397,nan,-43.561756,-40.72871,-40.67558
-54.997204,nan,-43.02422,-40.708855,-40.727882
-54.54754,nan,-42.577263,-40.66476,-40.700966
-53.94365,nan,-42.3287,-40.67029,-40.69404
-53.697704,nan,-42.113564,-40.683403,-40.6976
-52.99483,nan,-42.185337,-40.67985,-40.70092
-52.90222,nan,-41.992912,-40.65947,-40.71636
-51.933678,nan,-41.7105,-40.68089,-40.690113
-51.809414,nan,-41.494648,-40.633118,-40.7054
-52.30937,nan,-41.49266,-40.67911,-40.67783
-52.516502,nan,-41.41025,-40.693256,-40.670906
-51.299538,nan,-41.451107,-40.67613,-40.677288
-50.753113,nan,-41.50665,-40.658043,-40.694332
-50.167484,nan,-41.486874,-40.698063,-40.6848
-49.430874,nan,-41.62538,-40.662113,-40.72153
-48.70921,nan,-42.044765,-40.642357,-40.662502
-48.400696,nan,-41.86693,-40.69111,-40.723213
-48.37942,nan,-41.757317,-40.683655,-40.702934
-48.32407,nan,-41.724815,-40.679947,-40.68661
-47.154877,nan,-41.54732,-40.695274,-40.67009
-46.97489,nan,-41.316757,-40.65054,-40.655872
-46.167873,nan,-41.259975,-40.662743,-40.689877
-45.566193,nan,-41.110443,-40.669987,-40.707947
-44.727314,nan,-41.135246,-40.68557,-40.7049
-43.573013,nan,-41.070694,-40.683273,-40.68606
-43.44286,nan,-41.073055,-40.732777,-40.666355
-43.057716,nan,-41.030853,-40.706985,-40.661125
-42.505436,nan,-40.994606,-40.632908,-40.701397
-42.17546,nan,-40.915955,-40.70703,-40.676212
-41.9988,nan,-40.88297,-40.70281,-40.70651
-41.84054,nan,-40.892937,-40.69301,-40.701508
-41.66324,nan,-40.86417,-40.66384,-40.645985
-41.43578,nan,-40.807938,-40.621326,-40.68997
-41.33325,nan,-40.81253,-40.650932,-40.717117
-41.149857,nan,-40.793728,-40.621162,-40.7201
-41.11218,nan,-40.785954,-40.701702,-40.690094
-41.043312,nan,-40.775757,-40.67181,-40.7187
-41.03974,nan,-40.73911,-40.725655,-40.681496
-41.005165,nan,-40.740265,-40.704987,-40.657475
-41.01333,nan,-40.71965,-40.638813,-40.687595
-40.988483,nan,-40.731697,-40.66011,-40.669254
-40.948624,nan,-40.744858,-40.664875,-40.67532
-40.947437,nan,-40.706375,-40.698734,-40.649105
-40.83182,nan,-40.69286,-40.648716,-40.690056
-40.821415,nan,-40.74549,-40.66909,-40.66005
-40.81846,nan,-40.73693,-40.676186,-40.667843
-40.828514,nan,-40.68243,-40.68067,-40.68599
-40.829945,nan,-40.683132,-40.67493,-40.648396
-40.85171,nan,-40.7355,-40.670113,-40.644333
-40.786594,nan,-40.66654,-40.67204,-40.634533
-40.766014,nan,-40.672436,-40.648277,-40.690933
-40.739704,nan,-40.676273,-40.66018,-40.676685
-40.737877,nan,-40.68138,-40.679802,-40.670383
-40.791084,nan,-40.66457,-40.680027,-40.655743
-40.753727,nan,-40.690655,-40.685234,-40.671146
-40.769825,nan,-40.689747,-40.663616,-40.69872
-40.740414,nan,-40.63353,-40.669,-40.674515
-40.764454,nan,-40.728817,-40.67739,-40.6813
-40.748825,nan,-40.64968,-40.654526,-40.67175
-40.725525,nan,-40.689743,-40.66206,-40.630676
-40.742374,nan,-40.678963,-40.668766,-40.674007
-40.722675,nan,-40.710114,-40.633694,-40.68369
-40.68419,nan,-40.66546,-40.628975,-40.671906
-40.740143,nan,-40.755688,-40.671364,-40.68386
-40.67113,nan,-40.70853,-40.66478,-40.656517
-40.693672,nan,-40.686935,-40.690556,-40.681416
-40.73075,nan,-40.669285,-40.66436,-40.687565
